Id	Name	ChineseName	IndexYear	BirthYear	DeathYear	Woman
30689	Feng Yuanyang	馮元颺	1644	1586	1644	No
33877	Mao Fengbao	毛鳳苞	1658	1599	1659	No
34220	Tang Hezheng	唐鶴徵	1597	1538	1619	No
34746	Cao Yubian	曹于汴	1617	1558	1634	No
34747	Zou Yuanbiao	鄒元標	1610	1551	1624	No
34751	Li Liufang	李流芳	1629	1575	1629	No
34752	Fan Jingwen	范景文	1644	1587	1644	No
34787	Shen Defu	沈德符	1637	1578	1642	No
35183	Tan Changyan	譚昌言	1625	1571	1635	No
56589	Hou Fangyu	侯方域	1654	1618	1654	No
59750	Cheng Jiasui	程嘉燧	1624	1565	1644	No
63342	Xie Sanbin	謝三賓	1652	1593		No
63882	Sun Chengzong	孫承宗	1622	1563	1638	No
68502	Zhao Jin	趙錦	1575	1516	1591	No
83346	Zhou Yongnian	周永年	1641	1582	1647	No
84137	Zhao Shichun	趙士春	1658	1599	1675	No
88393	Huang Yisheng	黃翼聖	1655	1596	1659	No
88407	Xiao Shiwei	蕭士瑋	1644	1585	1651	No
91176	Tan Zhenliang	譚貞良	1648	1599	1648	No
123385	Wang Shiren	王世仁	1616	1556	1637	No
123710	Wang Tu	王圖	1627	1577	1627	No
123852	Xu Shichun	徐世淳	1641		1641	No
123920	Xu Shirou	許士柔	1642	1587	1642	No
123974	Shen Yongmao	申用懋	1619	1560	1638	No
124068	Shen Yan	沈演	1638		1638	No
124331	Zhuo Erkang	卓爾康	1629	1570	1644	No
125311	Liang Menglong	梁夢龍	1586	1527	1602	No
125520	Guo Zhengyu	郭正域	1612	1554	1612	No
126473	Wang Yuanhan	王元翰	1624	1565	1633	No
126537	Wang Zhijian	王志堅	1633	1576	1633	No
126731	Wang Xiangchun	王象春	1632	1578	1632	No
126852	Wang Linheng	王臨亨	1603	1556	1603	No
126928	Yin Jiabin	尹嘉賓	1623	1572	1623	No
126967	Mao Jin	毛晋	1658	1599	1659	No
127432	Zhu Lu	朱鷺	1612	1553	1632	No
127554	Shen Shouzheng	沈守正	1623	1572	1623	No
127987	Li Weizhen	李維楨	1606	1547	1626	No
128050	Li Yingsheng	李應昇	1626	1593	1626	No
129271	Hou Zhenyang	侯震暘	1627	1569	1627	No
129298	Ji Wenyin	姬文胤	1622	1582	1622	No
129709	Sun Bixian	孫必顯	1650	1591	1683	No
129892	Xu Hongzu	徐弘祖	1641	1586	1641	No
129934	Xu Dairen	徐待任	1623	1566	1623	No
129935	Xu Daipin	徐待聘	1614	1555	1626	No
129953	Xu Congzhi	徐從治	1633	1574	1634	No
130116	Xu Chengqi	許成器	1605	1546	1617	No
130219	Lu Shanji	鹿善繼	1634	1575	1636	No
130245	Mei Zhihuan	梅之煥	1634	1575	1641	No
130249	Mei Guozhen	梅國禎	1601	1542	1605	No
130318	Zhang Dafu	張大復	1613	1554	1630	No
130325	Zhang Wenqi	張文奇	1607			No
130879	Chen Yumo	陳禹謨	1607	1548	1618	No
131375	Huang Ruliang	黃汝良	1616			No
131423	Huang Zunsu	黃尊素	1626	1584	1626	No
131606	Fu Xinde	傅新德	1611	1569	1611	No
131951	Ye Xianggao	葉向高	1618	1559	1627	No
131961	Ye Maocai	葉茂才	1617	1558	1629	No
